res_id,name,establishment,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,opentable_support,delivery,takeaway,STATE,AREA,votes
18440148,Hira Sweets,['Sweet Shop'],"Style VVIP, Raj Nagar, Ghaziabad",Ghaziabad,1,Raj Nagar,28.69699205,77.42883034,,1,"Raj Nagar, Ghaziabad","Mithai, North Indian, South Indian, Fast Food",8:30am â€“ 11pm (Mon-Sun),500,2,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Dinner', 'Delivery', 'Breakfast', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes']",3.9,Good,0,1,-1,Uttar Pradesh,240928,323
3871,Bikanervala,['Sweet Shop'],"EF3 Mall, Sector 20-A, NH 2, Sector 20, Faridabad",Faridabad,1,Sector 20,28.40750042,77.31053017,0,1,"Sector 20, Faridabad","Mithai, Street Food, South Indian, North Indian, Chinese",8:30am â€“ 10:30pm (Mon-Sun),600,2,Rs.,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted', 'Desserts and Bakes']",3.8,Good,0,1,-1,Haryana,44212,322
586,Nathu's Sweets,['Casual Dining'],"2, Main Market, Sunder Nagar, New Delhi",New Delhi,1,Sunder Nagar,28.6024987,77.2409681,0,1,"Sunder Nagar, New Delhi","North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",9:30 AM to 11 PM (Mon-Sun),600,2,Rs.,"['Lunch', 'Delivery', 'Breakfast', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Pure Veg', 'Air Conditioned', 'Buffet', 'Desserts and Bakes']",3.8,Good,0,-1,-1,Delhi,1484,385
18689138,Mithaas,['Sweet Shop'],"Shop 30 & 33, Kings Avenue, Crossings Republik, Ghaziabad",Ghaziabad,1,Crossing Republik,28.62614542,77.43554525,,1,"Crossing Republik, Ghaziabad","Mithai, North Indian, South Indian, Street Food, Chinese","11:30 AM to 4 PM, 6 PM to 11 PM",400,1,Rs.,"['Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted']",3.9,Good,0,1,-1,Uttar Pradesh,240928,441
1974,Bikanervala,['Sweet Shop'],"B-225, Phase 1, Industrial Area, Naraina, New Delhi",New Delhi,1,Naraina,28.63076572,77.13800311,0,1,"Naraina, New Delhi","Mithai, Street Food, South Indian, North Indian, Chinese",8:30am â€“ 10:30pm (Mon-Sun),600,2,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Breakfast', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes']",3.7,Good,0,1,-1,Delhi,1484,355
1096,Haldiram's,['Sweet Shop'],"3rd Floor, MGF Metropolitan Mall, MG Road, Gurgaon",Gurgaon,1,"MGF Metropolitan Mall, MG Road",28.48074257,77.08028667,0,1,"MGF Metropolitan Mall, MG Road, Gurgaon","Mithai, Street Food, North Indian, South Indian, Chinese, Desserts",11 AM to 11 PM,600,2,Rs.,"['Mall Parking', 'Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'Wheelchair Accessible', 'Desserts and Bakes', 'Indoor Seating', 'Air Conditioned', 'Wifi', 'Pure Veg']",3.9,Good,0,1,-1,Haryana,44212,353
18528919,Ramesh Dhaba & Chinar Sweets,['Dhaba'],"Plot 128, Phase 1, Udyog Vihar, Gurgaon",Gurgaon,1,Udyog Vihar,28.51134893,77.08040468,,1,"Udyog Vihar, Gurgaon","North Indian, Mithai",9 AM to 11 PM,200,1,Rs.,"['Credit Card', 'Lunch', 'No Alcohol Available', 'Takeaway Available', 'Cash', 'Debit Card', 'Breakfast', 'Dinner', 'Delivery', 'Pure Veg', 'Digital Payments Accepted', 'Indoor Seating']",3.2,Average,0,1,-1,Haryana,44212,519
302558,Aggarwal Bikaneri Sweets,['Quick Bites'],"B-1/3, Near Sector 18 Metro Station, Sector 18, Noida",Noida,1,Sector 18,28.57069973,77.32594214,201301,1,"Sector 18, Noida","South Indian, Chinese, Street Food, Mithai",8 AM to 11 PM (Mon-Sun),400,1,Rs.,"['Dinner', 'Cash', 'Delivery', 'Breakfast', 'Lunch', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg', 'Desserts and Bakes', 'Air Conditioned', 'Wifi']",3.7,Good,0,-1,-1,Uttar Pradesh,240928,438
18580396,Om Sweets & Snacks,['Sweet Shop'],"SCO 25, Huda Market, Sector 10 A, Near Sector 37, Gurgaon",Gurgaon,1,Sector 37,28.44015368,77.00674452,,1,"Sector 37, Gurgaon","Mithai, North Indian, South Indian, Chinese, Fast Food",8am â€“ 10:30pm (Mon-Sun),500,2,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.1,Very Good,0,1,-1,Haryana,44212,419
18887447,Gulab,['Quick Bites'],"GT 1-2, Sector 104 Market, Noida",Noida,1,Sector 110,28.54110524,77.3678986,,1,"Sector 110, Noida","North Indian, Chinese, Street Food, Mithai",9 AM to 10 PM,300,1,Rs.,"['Lunch', 'Delivery', 'Breakfast', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes', 'Indoor Seating']",4.4,Very Good,0,-1,-1,Uttar Pradesh,240928,233
18598012,Nandan Sweets,['Quick Bites'],"Shop 15, Mor Chowk, Civil Lines, Sector 15, Gurgaon",Gurgaon,1,Sector 15,28.45841048,77.03374632,,1,"Sector 15, Gurgaon","North Indian, Chinese, South Indian, Mithai",8am â€“ 11pm (Mon-Sun),400,1,Rs.,"['Lunch', 'Delivery', 'Breakfast', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes']",3.6,Good,0,1,-1,Haryana,44212,461
18919107,The Big Chill Cafe,['CafÃ©'],"First Floor, B 40, The Colonnade, Opposite Gate 2 Rajiv Chowk Metro Station, Connaught Place, New Delhi",New Delhi,1,"The Colonnade, Connaught Place",28.63411988,77.21906282,,1,"The Colonnade, Connaught Place, New Delhi",Cafe,12 Noon to 11:30 PM,1500,3,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Wifi', 'Desserts and Bakes']",4.5,Excellent,0,-1,-1,Delhi,1484,652
301235,Big Chill,['CafÃ©'],"3rd Floor, DLF Promenade Mall, Vasant Kunj, New Delhi",New Delhi,1,"DLF Promenade Mall, Vasant Kunj",28.54270482,77.15650935,,1,"DLF Promenade Mall, Vasant Kunj, New Delhi",Cafe,12 Noon to 11:30 PM,1500,3,Rs.,"['Dinner', 'Mall Parking', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Indoor Seating', 'Wheelchair Accessible', 'Air Conditioned', 'Wifi', 'Desserts and Bakes']",4.5,Excellent,0,-1,-1,Delhi,1484,2335
8621,Rose Cafe,['CafÃ©'],"2, Westend Marg, Saidulajab, Saket",New Delhi,1,Saket,28.51782731,77.19835818,110030,1,"Saket, New Delhi","Cafe, Italian, Lebanese, Continental, Mediterranean, Salad",12 Noon to 9 PM,1000,3,Rs.,"['Lunch', 'Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Board Games', 'Outdoor Seating', 'Free Wifi', 'Air Conditioned', 'Free Parking', 'Indoor Seating', 'Table booking recommended', 'Vegan Options']",4.1,Very Good,0,-1,-1,Delhi,1484,3047
302878,Cha Bar,['CafÃ©'],"N-81, Oxford Bookstore, Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.63057385,77.22222481,,1,"Connaught Place, New Delhi",Cafe,11 AM to 9:30 PM,500,2,Rs.,"['Cash', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Air Conditioned', 'Indoor Seating', 'Table Reservation Not Required']",4,Very Good,0,-1,-1,Delhi,1484,5080
18375397,Big Yellow Door,['CafÃ©'],"2521, 2nd Floor, Kingsway Camp, Hudson Lane, Delhi University-GTB Nagar, New Delhi",New Delhi,1,Delhi University-GTB Nagar,28.69490661,77.20394053,,1,"Delhi University-GTB Nagar, New Delhi","Cafe, Italian, Fast Food",10:30 AM to 11 PM,700,2,Rs.,"['Breakfast', 'Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Air Conditioned', 'Indoor Seating']",4.3,Very Good,0,1,-1,Delhi,1484,2299
18423864,Uncle's Sip & Bite,['CafÃ©'],"Shop 5, A 75, Opposite CRPF School, Prashant Vihar, New Delhi",New Delhi,1,Prashant Vihar,28.7103082,77.1336632,110082,1,"Prashant Vihar, New Delhi",Cafe,"11:30am â€“ 10:30pm (Mon),11:30am â€“ 10:15pm (Tue-Sun)",300,1,Rs.,"['Delivery', 'Credit Card', 'Lunch', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Indoor Seating', 'Air Conditioned']",4.3,Very Good,0,-1,-1,Delhi,1484,1549
304262,Ricos,['CafÃ©'],"2526, 1st Floor, Hudson Lane, Kingsway Camp, Delhi University-GTB Nagar, New Delhi",New Delhi,1,Delhi University-GTB Nagar,28.69475368,77.20421545,,1,"Delhi University-GTB Nagar, New Delhi","Cafe, Continental, American, Italian, Mexican",11 AM to 11 PM,900,2,Rs.,"['Takeaway Available', 'Debit Card', 'Lunch', 'Dinner', 'Cash', 'Credit Card', 'No Alcohol Available', 'Table booking not available', 'Kid Friendly', 'Indoor Seating', 'Air Conditioned']",4.3,Very Good,0,-1,-1,Delhi,1484,5987
306503,Big Yellow Door,['CafÃ©'],"H-8, Opposite Venkateswara College, Satyaniketan, New Delhi",New Delhi,1,Satyaniketan,28.58781199,77.16733843,,1,"Satyaniketan, New Delhi","Cafe, Italian, Fast Food",10:30am â€“ 11pm (Mon-Sun),700,2,Rs.,"['Cash', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Air Conditioned', 'Indoor Seating']",4.2,Very Good,0,0,-1,Delhi,1484,5015
